Case Number,Day,When,What,Duration,Charges,Closed,Casecode
,Saturday,12/1/2018,CH,0.5,,00/00/0000,
,Monday,3/18/2019,NOTE,0.5,,00/00/0000,
,Monday,3/18/2019,APPT,0.5,,00/00/0000,
,Monday,3/18/2019,POPUP,4,,00/00/0000,
,Tuesday,3/19/2019,MEET,0.5,,00/00/0000,
,Thursday,4/4/2019,DMV,1,,00/00/0000,
,Friday,4/5/2019,CH,0.5,,00/00/0000,
,Tuesday,4/9/2019,NOTE,0,,00/00/0000,
,Thursday,4/11/2019,CONSULT,0.5,,00/00/0000,
,Monday,4/15/2019,NOTE,3,,00/00/0000,
,Sunday,4/21/2019,HOLIDAY,0,,00/00/0000,
,Tuesday,5/14/2019,NOTE,0.5,,00/00/0000,
,Monday,5/27/2019,HOLIDAY,0,,00/00/0000,
,Tuesday,6/4/2019,APPT,0.5,,00/00/0000,
,Tuesday,6/4/2019,NOTE,1.5,,00/00/0000,
,Thursday,6/6/2019,NOTE,0.5,,00/00/0000,
,Thursday,6/6/2019,NOTE,2.5,,00/00/0000,
,Thursday,6/20/2019,NOTE,0.5,,00/00/0000,
,Thursday,6/20/2019,1ST.MEET,0.5,,00/00/0000,
,Friday,6/21/2019,NOTE,0.5,,00/00/0000,
,Friday,6/21/2019,CH,1,,00/00/0000,
,Thursday,6/27/2019,NOTE,1,,00/00/0000,
,Thursday,6/27/2019,CH,0.5,,00/00/0000,
,Friday,6/28/2019,APPT,3,,00/00/0000,
,Friday,6/28/2019,APPT,1.5,,00/00/0000,
,Monday,7/1/2019,NOTE,1.5,,00/00/0000,
,Tuesday,7/2/2019,NOTE,1,,00/00/0000,
,Tuesday,7/2/2019,CH,0.5,,00/00/0000,
,Tuesday,7/2/2019,NOTE,1,,00/00/0000,
,Wednesday,7/3/2019,APPT,0.5,,00/00/0000,
,Wednesday,7/3/2019,CH,0.5,,00/00/0000,
,Thursday,7/4/2019,HOLIDAY,0,,00/00/0000,
,Thursday,7/4/2019,NOTE,10.5,,00/00/0000,
,Friday,7/5/2019,NOTE,10.5,,00/00/0000,
,Monday,7/8/2019,NOTE,0.5,,00/00/0000,
,Wednesday,7/10/2019,APPT,0.5,,00/00/0000,
,Thursday,7/11/2019,NOTE,0.5,,00/00/0000,
,Thursday,8/1/2019,CH,0.5,,00/00/0000,
,Friday,8/2/2019,PERSONAL,2,,00/00/0000,
,Monday,8/5/2019,NOTE,0.5,,00/00/0000,
,Tuesday,8/6/2019,NOTE,0,,00/00/0000,
,Thursday,8/8/2019,1ST.MEET,0.5,,00/00/0000,
,Thursday,8/22/2019,NOTE,1,,00/00/0000,
,Friday,8/23/2019,APPT,2.5,,00/00/0000,
,Tuesday,8/27/2019,A106,0.25,,00/00/0000,
,Monday,9/2/2019,HOLIDAY,0,,00/00/0000,
,Tuesday,9/10/2019,1ST.MEET,1,,00/00/0000,
,Wednesday,9/25/2019,APPT,0.5,,00/00/0000,
,Thursday,9/26/2019,CH,0.5,,00/00/0000,
,Friday,9/27/2019,HOLIDAY,0,,00/00/0000,
,Tuesday,10/8/2019,1ST.MEET,0.75,,00/00/0000,
,Tuesday,10/29/2019,NOTE,0,,00/00/0000,
,Friday,11/1/2019,CH,0.5,,00/00/0000,
,Tuesday,11/5/2019,1ST.MEET,0.5,,00/00/0000,
,Thursday,11/7/2019,1ST.MEET,0,,00/00/0000,
,Monday,11/11/2019,HOLIDAY,0,,00/00/0000,
,Wednesday,11/13/2019,APPT,1,,00/00/0000,
,Wednesday,11/13/2019,APPT,1,,00/00/0000,
,Thursday,11/14/2019,APPT,0.5,,00/00/0000,
,Thursday,11/14/2019,CH,0,,00/00/0000,
,Thursday,11/21/2019,1ST.MEET,0.5,,00/00/0000,
,Friday,11/22/2019,CH,0.5,,00/00/0000,
,Monday,11/25/2019,CH,0.5,,00/00/0000,
,Tuesday,11/26/2019,APPT,0.5,,00/00/0000,
,Thursday,11/28/2019,HOLIDAY,0,,00/00/0000,
,Thursday,11/28/2019,NOTE,9,,00/00/0000,
,Friday,11/29/2019,NOTE,9,,00/00/0000,
,Tuesday,12/3/2019,1ST.MEET,0.5,,00/00/0000,
,Tuesday,12/3/2019,1ST.MEET,0.5,,00/00/0000,
,Thursday,12/5/2019,1ST.MEET,0.5,,00/00/0000,
,Tuesday,12/10/2019,CH,0.5,,00/00/0000,
,Friday,12/13/2019,CH,0.5,,00/00/0000,
,Tuesday,12/17/2019,APPT,0.5,,00/00/0000,
,Wednesday,12/25/2019,HOLIDAY,0,,00/00/0000,
,Wednesday,1/1/2020,HOLIDAY,0,,00/00/0000,
,Tuesday,1/7/2020,1ST.MEET,0.5,,00/00/0000,
,Tuesday,1/7/2020,CH,0.5,,00/00/0000,
,Friday,1/10/2020,JV,1,,00/00/0000,
,Friday,1/17/2020,APPT,0.5,,00/00/0000,
,Monday,1/20/2020,HOLIDAY,0,,00/00/0000,
,Tuesday,1/21/2020,1ST.MEET,0.5,,00/00/0000,
,Wednesday,1/22/2020,APPT,0.5,,00/00/0000,
,Wednesday,1/22/2020,PHONE,1,,00/00/0000,
,Wednesday,1/22/2020,APPT,1,,00/00/0000,
,Thursday,1/30/2020,1ST.MEET,1,,00/00/0000,
,Friday,2/7/2020,APPT,0.5,,00/00/0000,
,Monday,2/10/2020,APPT,1,,00/00/0000,
,Wednesday,2/12/2020,NOTE,0.5,,00/00/0000,
,Monday,2/17/2020,HOLIDAY,0,,00/00/0000,
,Wednesday,2/19/2020,APPT,0.5,,00/00/0000,
,Friday,2/21/2020,APPT,0.5,,00/00/0000,
,Friday,2/21/2020,APPT,0.5,,00/00/0000,
,Wednesday,2/26/2020,1ST.MEET,0.5,,00/00/0000,
,Wednesday,2/26/2020,1ST.MEET,0.5,,00/00/0000,
,Friday,3/6/2020,CH,0.5,,00/00/0000,
,Thursday,3/12/2020,1ST.MEET,1,,00/00/0000,
,Thursday,3/12/2020,1ST.MEET,0.5,,00/00/0000,
,Tuesday,3/17/2020,CH,0.5,,00/00/0000,
,Friday,3/20/2020,CH,0.5,,00/00/0000,
,Sunday,4/12/2020,HOLIDAY,0,,00/00/0000,
,Thursday,4/23/2020,NOTE,0,,00/00/0000,
,Monday,4/27/2020,NOTE,0,,00/00/0000,
,Tuesday,4/28/2020,APPT,0.5,,00/00/0000,
,Wednesday,4/29/2020,APPT,0.5,,00/00/0000,
,Wednesday,4/29/2020,1ST.MEET,0.5,,00/00/0000,
,Monday,5/25/2020,HOLIDAY,0,,00/00/0000,
,Monday,6/15/2020,APPT,0.5,,00/00/0000,
,Thursday,6/25/2020,REMINDER,0.5,,00/00/0000,
,Friday,7/3/2020,HOLIDAY,0,,00/00/0000,
,Saturday,7/4/2020,HOLIDAY,0,,00/00/0000,
,Monday,7/6/2020,APPT,0.5,,00/00/0000,
,Tuesday,7/7/2020,1ST.MEET,0.5,,00/00/0000,
,Thursday,7/16/2020,REMINDER,0.5,,00/00/0000,
,Friday,7/31/2020,NOTE,0.5,,00/00/0000,
,Thursday,8/6/2020,1ST.MEET,1,,00/00/0000,
,Friday,8/14/2020,CH,0.5,,00/00/0000,
,Saturday,8/15/2020,NOTE,0.5,,00/00/0000,
,Monday,9/7/2020,HOLIDAY,0,,00/00/0000,
,Tuesday,9/8/2020,NOTE,1,,00/00/0000,
,Wednesday,9/9/2020,NOTE,0.5,,00/00/0000,
,Thursday,9/10/2020,1ST.MEET,0.5,,00/00/0000,
,Friday,9/11/2020,1ST.MEET,0.5,,00/00/0000,
,Monday,9/14/2020,APPT,0.5,,00/00/0000,
,Monday,9/14/2020,1ST.MEET,0.5,,00/00/0000,
,Tuesday,9/15/2020,1ST.MEET,0.5,,00/00/0000,
,Tuesday,9/15/2020,1ST.MEET,0.5,,00/00/0000,
,Monday,9/21/2020,PERSONAL,1,,00/00/0000,
,Tuesday,9/29/2020,CH,0.5,,00/00/0000,
,Tuesday,10/6/2020,APPT,0.5,,00/00/0000,
,Monday,10/12/2020,HOLIDAY,0,,00/00/0000,
,Thursday,10/15/2020,1ST.MEET,1,,00/00/0000,
,Tuesday,10/20/2020,1ST.MEET,0.5,,00/00/0000,
,Wednesday,10/21/2020,APPT,0.5,,00/00/0000,
,Monday,11/2/2020,APPT,2,,00/00/0000,
,Thursday,11/5/2020,APPT,0.5,,00/00/0000,
,Wednesday,11/11/2020,HOLIDAY,0,,00/00/0000,
,Monday,11/23/2020,NOTE,0.5,,00/00/0000,
,Tuesday,11/24/2020,NOTE,0.5,,00/00/0000,
,Wednesday,11/25/2020,NOTE,0.5,,00/00/0000,
,Thursday,11/26/2020,HOLIDAY,0,,00/00/0000,
,Friday,12/4/2020,1ST.MEET,0.5,,00/00/0000,
,Friday,12/25/2020,HOLIDAY,0,,00/00/0000,
,Monday,12/28/2020,NOTE,0.5,,00/00/0000,
,Tuesday,12/29/2020,NOTE,0.5,,00/00/0000,
,Wednesday,12/30/2020,NOTE,0.5,,00/00/0000,
,Thursday,12/31/2020,NOTE,0.5,,00/00/0000,
,Friday,1/1/2021,HOLIDAY,0,,00/00/0000,
,Monday,1/18/2021,HOLIDAY,0,,00/00/0000,
,Monday,2/15/2021,HOLIDAY,0,,00/00/0000,
,Tuesday,2/16/2021,APPT,0.5,,00/00/0000,
,Friday,2/19/2021,1ST.MEET,0.75,,00/00/0000,
,Thursday,2/25/2021,APPT,0.5,,00/00/0000,
,Thursday,3/4/2021,APPT,0.5,,00/00/0000,
,Saturday,3/13/2021,APPT,1,,00/00/0000,
,Wednesday,3/17/2021,APPT,0.5,,00/00/0000,
,Wednesday,3/31/2021,APPT,0.5,,00/00/0000,
,Thursday,4/1/2021,APPT,0.5,,00/00/0000,
,Sunday,4/4/2021,HOLIDAY,0,,00/00/0000,
,Tuesday,4/6/2021,1ST.MEET,0.5,,00/00/0000,
,Wednesday,4/7/2021,APPT,1,,00/00/0000,
,Thursday,4/8/2021,1ST.MEET,1,,00/00/0000,
,Thursday,4/15/2021,1ST.MEET,1,,00/00/0000,
,Friday,4/16/2021,NOTE,1,,00/00/0000,
,Tuesday,4/20/2021,1ST.MEET,0.5,,00/00/0000,
,Wednesday,4/21/2021,APPT,1,,00/00/0000,
,Thursday,4/22/2021,1ST.MEET,0.5,,00/00/0000,
,Thursday,4/29/2021,APPT,1.5,,00/00/0000,
,Thursday,5/27/2021,NOTE,2,,00/00/0000,
,Monday,5/31/2021,HOLIDAY,0,,00/00/0000,
,Wednesday,6/23/2021,1ST.MEET,0.5,,00/00/0000,
,Wednesday,6/23/2021,1ST.MEET,1,,00/00/0000,
,Wednesday,6/23/2021,1ST.MEET,0.5,,00/00/0000,
,Sunday,7/4/2021,HOLIDAY,0,,00/00/0000,
,Monday,7/5/2021,HOLIDAY,0,,00/00/0000,
,Wednesday,7/14/2021,1ST.MEET,1,,00/00/0000,
,Wednesday,7/14/2021,1ST.MEET,1,,00/00/0000,
,Thursday,8/26/2021,APPT,1.5,,00/00/0000,
,Monday,9/6/2021,HOLIDAY,0,,00/00/0000,
,Tuesday,9/28/2021,JV,0.5,,00/00/0000,
,Tuesday,9/28/2021,CH,0.5,,00/00/0000,
,Wednesday,9/29/2021,APPT,1.5,,00/00/0000,
,Monday,10/11/2021,HOLIDAY,0,,00/00/0000,
,Thursday,10/14/2021,1ST.MEET,1,,00/00/0000,
,Friday,10/15/2021,CH,1,,00/00/0000,
,Wednesday,10/20/2021,1ST.MEET,0.5,,00/00/0000,
,Wednesday,10/27/2021,NOTE,8,,00/00/0000,
,Thursday,11/4/2021,APPT,0.5,,00/00/0000,
,Friday,11/5/2021,1ST.MEET,0.5,,00/00/0000,
,Wednesday,11/10/2021,APPT,0.5,,00/00/0000,
,Thursday,11/11/2021,HOLIDAY,0,,00/00/0000,
,Thursday,11/18/2021,APPT,1,,00/00/0000,
,Friday,11/19/2021,1ST.MEET,1,,00/00/0000,
,Thursday,11/25/2021,HOLIDAY,0,,00/00/0000,
,Friday,12/24/2021,HOLIDAY,0,,00/00/0000,
,Saturday,12/25/2021,HOLIDAY,0,,00/00/0000,
,Friday,12/31/2021,HOLIDAY,0,,00/00/0000,
,Saturday,1/1/2022,HOLIDAY,0,,00/00/0000,
,Sunday,1/2/2022,1ST.MEET,0.75,,00/00/0000,
,Wednesday,1/5/2022,1ST.MEET,0.5,,00/00/0000,
,Wednesday,1/5/2022,1ST.MEET,0.5,,00/00/0000,
,Monday,1/17/2022,HOLIDAY,0,,00/00/0000,
,Tuesday,1/18/2022,APPT,1.5,,00/00/0000,
,Monday,2/21/2022,HOLIDAY,0,,00/00/0000,
,Tuesday,3/15/2022,APPT,0.5,,00/00/0000,
,Monday,3/21/2022,UNAVAIL,0,,00/00/0000,
,Tuesday,3/22/2022,UNAVAIL,0,,00/00/0000,
,Wednesday,3/23/2022,UNAVAIL,0,,00/00/0000,
,Thursday,3/24/2022,UNAVAIL,0,,00/00/0000,
,Friday,3/25/2022,UNAVAIL,0,,00/00/0000,
,Monday,3/28/2022,UNAVAIL,0.25,,00/00/0000,
,Tuesday,3/29/2022,UNAVAIL,0.25,,00/00/0000,
,Wednesday,3/30/2022,UNAVAIL,0.25,,00/00/0000,
,Thursday,3/31/2022,UNAVAIL,0.25,,00/00/0000,
,Thursday,3/31/2022,HOLIDAY,0.5,,00/00/0000,
,Thursday,3/31/2022,1ST.MEET,0.5,,00/00/0000,
,Friday,4/1/2022,UNAVAIL,0.25,,00/00/0000,
,Monday,4/4/2022,UNAVAIL,0,,00/00/0000,
,Tuesday,4/5/2022,UNAVAIL,0,,00/00/0000,
,Tuesday,4/5/2022,APPT,0.5,,00/00/0000,
,Wednesday,4/6/2022,UNAVAIL,0,,00/00/0000,
,Thursday,4/7/2022,UNAVAIL,0,,00/00/0000,
,Thursday,4/7/2022,APPT,1,,00/00/0000,
,Friday,4/8/2022,UNAVAIL,0,,00/00/0000,
,Saturday,4/9/2022,UNAVAIL,0,,00/00/0000,
,Sunday,4/10/2022,UNAVAIL,0,,00/00/0000,
,Monday,4/11/2022,UNAVAIL,0,,00/00/0000,
,Tuesday,4/12/2022,UNAVAIL,0,,00/00/0000,
,Wednesday,4/13/2022,UNAVAIL,0,,00/00/0000,
,Wednesday,4/13/2022,APPT,0.5,,00/00/0000,
,Wednesday,4/13/2022,APPT,0.5,,00/00/0000,
,Wednesday,4/13/2022,1ST.MEET,0.5,,00/00/0000,
,Thursday,4/14/2022,UNAVAIL,0,,00/00/0000,
,Thursday,4/14/2022,1ST.MEET,0.5,,00/00/0000,
,Thursday,4/14/2022,CH,0.5,,00/00/0000,
,Friday,4/15/2022,UNAVAIL,0,,00/00/0000,
,Sunday,4/17/2022,HOLIDAY,0,,00/00/0000,
,Wednesday,4/20/2022,APPT,0.5,,00/00/0000,
,Thursday,4/21/2022,CH,0.5,,00/00/0000,
,Thursday,4/21/2022,1ST.MEET,0.25,,00/00/0000,
,Friday,4/29/2022,1ST.MEET,0.5,,00/00/0000,
,Saturday,4/30/2022,1ST.MEET,0.5,,00/00/0000,
,Wednesday,5/4/2022,APPT,1,,00/00/0000,
,Thursday,5/5/2022,1ST.MEET,0.5,,00/00/0000,
,Thursday,5/5/2022,APPT,0.5,,00/00/0000,
,Friday,5/6/2022,CH,0.5,,00/00/0000,
,Monday,5/9/2022,APPT,0.5,,00/00/0000,
,Friday,5/13/2022,UNAVAIL,0,,00/00/0000,
,Monday,5/16/2022,UNAVAIL,0,,00/00/0000,
,Monday,5/16/2022,UNAVAIL,0,,00/00/0000,
,Tuesday,5/17/2022,UNAVAIL,0,,00/00/0000,
,Tuesday,5/17/2022,UNAVAIL,0,,00/00/0000,
,Wednesday,5/18/2022,UNAVAIL,0,,00/00/0000,
,Wednesday,5/18/2022,UNAVAIL,0,,00/00/0000,
,Thursday,5/19/2022,UNAVAIL,0,,00/00/0000,
,Thursday,5/19/2022,UNAVAIL,0,,00/00/0000,
,Thursday,5/19/2022,CH,0.5,,00/00/0000,
,Friday,5/20/2022,UNAVAIL,0,,00/00/0000,
,Friday,5/20/2022,APPT,1,,00/00/0000,
,Monday,5/30/2022,HOLIDAY,0,,00/00/0000,
,Monday,5/30/2022,HOLIDAY,0.5,,00/00/0000,
,Tuesday,5/31/2022,UNAVAIL,0,,00/00/0000,
,Wednesday,6/1/2022,UNAVAIL,0,,00/00/0000,
,Wednesday,6/1/2022,APPT,2,,00/00/0000,
,Thursday,6/2/2022,UNAVAIL,0,,00/00/0000,
,Monday,6/6/2022,APPT,0.5,,00/00/0000,
,Wednesday,6/8/2022,APPT,0.5,,00/00/0000,
,Thursday,6/9/2022,APPT,0.5,,00/00/0000,
,Thursday,6/9/2022,APPT,0.5,,00/00/0000,
,Thursday,6/9/2022,APPT,0.5,,00/00/0000,
,Thursday,6/16/2022,1ST.MEET,1,,00/00/0000,
,Monday,6/20/2022,UNAVAIL,0,,00/00/0000,
,Tuesday,6/21/2022,UNAVAIL,0,,00/00/0000,
,Tuesday,6/21/2022,APPT,0.5,,00/00/0000,
,Wednesday,6/22/2022,UNAVAIL,0,,00/00/0000,
,Thursday,6/23/2022,UNAVAIL,0,,00/00/0000,
,Thursday,6/23/2022,APPT,0.5,,00/00/0000,
,Friday,6/24/2022,UNAVAIL,0,,00/00/0000,
,Saturday,6/25/2022,UNAVAIL,0,,00/00/0000,
,Sunday,6/26/2022,UNAVAIL,0,,00/00/0000,
,Wednesday,6/29/2022,APPT,0.5,,00/00/0000,
,Friday,7/1/2022,1ST.MEET,0.5,,00/00/0000,
,Monday,7/4/2022,HOLIDAY,0,,00/00/0000,
,Monday,7/4/2022,HOLIDAY,0.5,,00/00/0000,
,Monday,7/11/2022,NOTE,0,,00/00/0000,
,Wednesday,7/20/2022,APPT,1,,00/00/0000,
,Thursday,7/21/2022,APPT,0.5,,00/00/0000,
,Wednesday,8/3/2022,CH,0.5,,00/00/0000,
,Thursday,8/4/2022,1ST.MEET,1,,00/00/0000,
,Friday,8/5/2022,NOTE,0.5,,00/00/0000,
,Tuesday,8/9/2022,1ST.MEET,1,,00/00/0000,
,Wednesday,8/10/2022,UNAVAIL,0,,00/00/0000,
,Wednesday,8/10/2022,APPT,1,,00/00/0000,
,Thursday,8/11/2022,UNAVAIL,0,,00/00/0000,
,Friday,8/12/2022,UNAVAIL,0,,00/00/0000,
,Monday,8/15/2022,UNAVAIL,0,,00/00/0000,
,Tuesday,8/16/2022,UNAVAIL,0,,00/00/0000,
,Monday,8/22/2022,UNAVAIL,0,,00/00/0000,
,Monday,8/22/2022,1ST.MEET,0.5,,00/00/0000,
,Tuesday,8/23/2022,UNAVAIL,0,,00/00/0000,
,Tuesday,8/23/2022,1ST.MEET,0.5,,00/00/0000,
,Tuesday,8/23/2022,CH,0.5,,00/00/0000,
,Wednesday,8/24/2022,UNAVAIL,0,,00/00/0000,
,Wednesday,8/24/2022,1ST.MEET,0.5,,00/00/0000,
,Thursday,8/25/2022,UNAVAIL,0,,00/00/0000,
,Thursday,8/25/2022,APPT,0.5,,00/00/0000,
,Friday,8/26/2022,UNAVAIL,0,,00/00/0000,
,Monday,9/5/2022,HOLIDAY,0,,00/00/0000,
,Monday,9/5/2022,HOLIDAY,0.5,,00/00/0000,
,Thursday,9/15/2022,APPT,0.5,,00/00/0000,
,Thursday,9/15/2022,1ST.MEET,0.5,,00/00/0000,
,Friday,9/23/2022,HOLIDAY,0.5,,00/00/0000,
,Monday,9/26/2022,APPT,0.5,,00/00/0000,
,Monday,10/10/2022,NOTE,0.5,,00/00/0000,
,Monday,10/24/2022,APPT,1,,00/00/0000,
,Wednesday,10/26/2022,1ST.MEET,1,,00/00/0000,
,Wednesday,10/26/2022,APPT,0.5,,00/00/0000,
,Wednesday,11/2/2022,1ST.MEET,0.5,,00/00/0000,
,Wednesday,11/9/2022,APPT,0.5,,00/00/0000,
,Friday,11/11/2022,HOLIDAY,0,,00/00/0000,
,Friday,11/11/2022,APPT,1,,00/00/0000,
,Wednesday,11/16/2022,APPT,0.5,,00/00/0000,
,Wednesday,11/16/2022,APPT,0.5,,00/00/0000,
,Thursday,11/24/2022,HOLIDAY,0,,00/00/0000,
,Thursday,11/24/2022,HOLIDAY,0.5,,00/00/0000,
,Friday,11/25/2022,HOLIDAY,0.5,,00/00/0000,
,Monday,12/5/2022,APPT,1,,00/00/0000,
,Tuesday,12/13/2022,APPT,0,,00/00/0000,
,Thursday,12/15/2022,JV,0,,00/00/0000,
,Sunday,12/25/2022,HOLIDAY,0,,00/00/0000,
,Monday,12/26/2022,HOLIDAY,0,,00/00/0000,
,Monday,12/26/2022,HOLIDAY,0.5,,00/00/0000,
,Sunday,1/1/2023,HOLIDAY,0,,00/00/0000,
,Monday,1/2/2023,HOLIDAY,0,,00/00/0000,
,Monday,1/2/2023,HOLIDAY,0.5,,00/00/0000,
,Tuesday,1/3/2023,APPT,0.5,,00/00/0000,
,Tuesday,1/3/2023,1ST.MEET,0.5,,00/00/0000,
,Wednesday,1/4/2023,1ST.MEET,0.5,,00/00/0000,
,Thursday,1/5/2023,CONSULT,0.5,,00/00/0000,
,Friday,1/6/2023,APPT,0.5,,00/00/0000,
,Monday,1/16/2023,HOLIDAY,0,,00/00/0000,
,Monday,1/16/2023,HOLIDAY,0,,00/00/0000,
,Tuesday,1/17/2023,APPT,1,,00/00/0000,
,Thursday,1/19/2023,1ST.MEET,1,,00/00/0000,
,Monday,1/23/2023,APPT,1,,00/00/0000,
,Tuesday,1/24/2023,APPT,1,,00/00/0000,
,Thursday,1/26/2023,APPT,0.5,,00/00/0000,
,Friday,1/27/2023,APPT,0.5,,00/00/0000,
,Friday,1/27/2023,APPT,0.5,,00/00/0000,
,Thursday,2/2/2023,APPT,0.5,,00/00/0000,
,Friday,2/3/2023,1ST.MEET,0.5,,00/00/0000,
,Thursday,2/9/2023,APPT,1,,00/00/0000,
,Friday,2/10/2023,APPT,1,,00/00/0000,
,Friday,2/10/2023,APPT,0.5,,00/00/0000,
,Friday,2/10/2023,APPT,1,,00/00/0000,
,Monday,2/13/2023,HOLIDAY,0.5,,00/00/0000,
,Wednesday,2/15/2023,APPT,0.5,,00/00/0000,
,Wednesday,2/15/2023,1ST.MEET,0.5,,00/00/0000,
,Wednesday,2/15/2023,APPT,0.5,,00/00/0000,
,Thursday,2/16/2023,APPT,0.5,,00/00/0000,
,Friday,2/17/2023,APPT,1,,00/00/0000,
,Monday,2/20/2023,HOLIDAY,0,,00/00/0000,
,Monday,2/20/2023,HOLIDAY,0.5,,00/00/0000,
,Tuesday,2/21/2023,APPT,0.45,,00/00/0000,
,Thursday,2/23/2023,APPT,0.5,,00/00/0000,
,Thursday,2/23/2023,APPT,0.5,,00/00/0000,
,Friday,2/24/2023,APPT,1,,00/00/0000,
,Friday,2/24/2023,APPT,1,,00/00/0000,
,Monday,2/27/2023,APPT,1,,00/00/0000,
,Tuesday,2/28/2023,APPT,0.5,,00/00/0000,
,Tuesday,2/28/2023,APPT,1.5,,00/00/0000,
,Wednesday,3/1/2023,APPT,0.5,,00/00/0000,
,Thursday,3/2/2023,APPT,0.5,,00/00/0000,
,Thursday,3/2/2023,APPT,0.5,,00/00/0000,
,Thursday,3/2/2023,APPT,1,,00/00/0000,
,Friday,3/3/2023,APPT,0.5,,00/00/0000,
,Friday,3/3/2023,APPT,0.5,,00/00/0000,
,Tuesday,3/7/2023,APPT,1,,00/00/0000,
,Thursday,3/9/2023,APPT,0.5,,00/00/0000,
,Thursday,3/9/2023,APPT,0.5,,00/00/0000,
,Friday,3/10/2023,1ST.MEET,0.5,,00/00/0000,
,Wednesday,3/22/2023,APPT,0.5,,00/00/0000,
,Wednesday,3/22/2023,APPT,0.5,,00/00/0000,
,Friday,3/31/2023,HOLIDAY,0.5,,00/00/0000,
,Tuesday,4/4/2023,APPT,0.5,,00/00/0000,
,Wednesday,4/5/2023,APPT,0.5,,00/00/0000,
,Friday,4/7/2023,APPT,0.5,,00/00/0000,
,Sunday,4/9/2023,HOLIDAY,0,,00/00/0000,
,Wednesday,4/12/2023,APPT,0.5,,00/00/0000,
,Wednesday,5/17/2023,APPT,0.5,,00/00/0000,
,Friday,5/19/2023,APPT,0.5,,00/00/0000,
,Monday,5/22/2023,APPT,0.5,,00/00/0000,
,Wednesday,5/24/2023,CH,0.5,,00/00/0000,
,Wednesday,5/24/2023,APPT,0.5,,00/00/0000,
,Monday,5/29/2023,HOLIDAY,0,,00/00/0000,
,Monday,5/29/2023,HOLIDAY,0.5,,00/00/0000,
,Wednesday,5/31/2023,APPT,0,,00/00/0000,
,Wednesday,5/31/2023,APPT,0.5,,00/00/0000,
,Wednesday,6/7/2023,APPT,0.5,,00/00/0000,
,Wednesday,6/7/2023,APPT,0,,00/00/0000,
,Monday,6/19/2023,HOLIDAY,0.5,,00/00/0000,
,Thursday,6/22/2023,1ST.MEET,0.5,,00/00/0000,
,Thursday,6/22/2023,1ST.MEET,0.5,,00/00/0000,
,Monday,6/26/2023,APPT,0.5,,00/00/0000,
,Wednesday,6/28/2023,APPT,0.5,,00/00/0000,
,Wednesday,6/28/2023,APPT,0.5,,00/00/0000,
,Thursday,6/29/2023,APPT,0.5,,00/00/0000,
,Thursday,6/29/2023,1ST.MEET,0.5,,00/00/0000,
,Tuesday,7/4/2023,HOLIDAY,0,,00/00/0000,
,Tuesday,7/4/2023,HOLIDAY,0.5,,00/00/0000,
,Wednesday,7/5/2023,APPT,0.5,,00/00/0000,
,Wednesday,7/5/2023,APPT,0.5,,00/00/0000,
,Wednesday,7/5/2023,APPT,0.5,,00/00/0000,
,Thursday,7/6/2023,APPT,0.5,,00/00/0000,
,Thursday,7/6/2023,APPT,0.5,,00/00/0000,
,Wednesday,7/12/2023,APPT,0.5,,00/00/0000,
,Friday,7/14/2023,APPT,0.5,,00/00/0000,
,Friday,7/14/2023,APPT,0.5,,00/00/0000,
,Tuesday,7/18/2023,APPT,2,,00/00/0000,
,Tuesday,7/18/2023,APPT,0.5,,00/00/0000,
,Wednesday,7/19/2023,APPT,0.5,,00/00/0000,
,Thursday,7/20/2023,APPT,0.5,,00/00/0000,
,Thursday,7/20/2023,APPT,0.5,,00/00/0000,
,Monday,7/24/2023,APPT,2,,00/00/0000,
,Wednesday,7/26/2023,APPT,0.5,,00/00/0000,
,Thursday,7/27/2023,APPT,0.5,,00/00/0000,
,Thursday,7/27/2023,APPT,0.5,,00/00/0000,
,Friday,7/28/2023,APPT,0.5,,00/00/0000,
,Friday,7/28/2023,CH,0.5,,00/00/0000,
,Friday,7/28/2023,APPT,0.5,,00/00/0000,
,Monday,7/31/2023,APPT,0.5,,00/00/0000,
,Monday,7/31/2023,APPT,0.5,,00/00/0000,
,Wednesday,8/9/2023,APPT,0.5,,00/00/0000,
,Wednesday,8/9/2023,APPT,0.5,,00/00/0000,
,Friday,8/11/2023,CH,0.5,,00/00/0000,
,Wednesday,8/16/2023,APPT,0.5,,00/00/0000,
,Wednesday,8/16/2023,APPT,1,,00/00/0000,
,Thursday,8/17/2023,APPT,1,,00/00/0000,
,Thursday,8/17/2023,APPT,0.5,,00/00/0000,
,Thursday,8/17/2023,APPT,0.5,,00/00/0000,
,Thursday,8/17/2023,APPT,0.5,,00/00/0000,
,Friday,8/18/2023,APPT,0.5,,00/00/0000,
,Tuesday,8/22/2023,CH,0.5,,00/00/0000,
,Wednesday,8/30/2023,APPT,0.5,,00/00/0000,
,Monday,9/4/2023,HOLIDAY,0,,00/00/0000,
,Monday,9/4/2023,HOLIDAY,0.5,,00/00/0000,
,Wednesday,9/13/2023,CH,0.5,,00/00/0000,
,Wednesday,9/13/2023,APPT,0.5,,00/00/0000,
,Thursday,9/14/2023,1ST.MEET,1,,00/00/0000,
,Thursday,9/14/2023,APPT,0.5,,00/00/0000,
,Wednesday,9/20/2023,APPT,0.5,,00/00/0000,
